A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
165	Re     	75 	90 	0.0480  	(11/2-)       	-30.612             	24        	1.74 S 6                 	1.74                     	          	        	EC      	87.00       
166	Re     	75 	91 	0.0000  	              	-31.89              	7         	2.25 S 21                	2.25                     	          	        	EC      	> 76.00     
166	Re     	75 	91 	0.0000  	              	-31.89              	7         	2.25 S 21                	2.25                     	          	        	A       	< 24.00     
167	Re     	75 	92 	0.0000  	(9/2-)        	-34.83              	4         	5.9 S 3                  	5.9                      	          	        	A       	~ 1.00      
167	Re     	75 	92 	0.0000  	(9/2-)        	-34.83              	4         	5.9 S 3                  	5.9                      	          	        	EC      	~ 99.00     
167	Re     	75 	92 	0.0000  	              	-34.83              	4         	3.4 S 4                  	3.4                      	          	        	A       	100.00      
168	Re     	75 	93 	0.0000  	(7+)          	-35.79              	3         	4.4 S 1                  	4.4                      	          	        	EC      	100.00      
168	Re     	75 	93 	0.0000  	(7+)          	-35.79              	3         	4.4 S 1                  	4.4                      	          	        	A       	~ 5.0E-3    
169	Re     	75 	94 	0.0000  	(9/2-)        	-38.409             	11        	8.1 S 5                  	8.1                      	          	        	A       	< 0.01      
169	Re     	75 	94 	0.0000  	(9/2-)        	-38.409             	11        	8.1 S 5                  	8.1                      	          	        	EC      	100.00      
169	Re     	75 	94 	0.0000  	(5/2+,3/2+)   	-38.409             	11        	15.1 S 15                	15.1                     	          	        	EC      	            
169	Re     	75 	94 	0.0000  	(5/2+,3/2+)   	-38.409             	11        	15.1 S 15                	15.1                     	          	        	IT      	            
169	Re     	75 	94 	0.0000  	(5/2+,3/2+)   	-38.409             	11        	15.1 S 15                	15.1                     	          	        	A       	~ 0.20      
170	Re     	75 	95 	0.0000  	(5+)          	-38.913             	23        	9.2 S 2                  	9.2                      	          	        	EC      	100.00      
171	Re     	75 	96 	0.0000  	(9/2-)        	-41.25              	3         	15.2 S 4                 	15.2                     	          	        	EC      	100.00      
172	Re     	75 	97 	0.0000  	(2)           	-41.54              	4         	55 S 5                   	55                       	          	        	EC      	100.00      
172	Re     	75 	97 	0.0000  	(5+)          	-41.54              	4         	15 S 3                   	15                       	          	        	EC      	100.00      
173	Re     	75 	98 	0.0000  	(5/2-)        	-43.55              	3         	1.98 M 26                	118.8                    	          	        	EC      	100.00      
174	Re     	75 	99 	0.0000  	(LE 4)        	-43.67              	3         	2.40 M 4                 	144                      	          	        	EC      	100.00      
175	Re     	75 	100	0.0000  	(5/2-)        	-45.29              	3         	5.89 M 5                 	353.4                    	          	        	EC      	100.00      
176	Re     	75 	101	0.0000  	(3+)          	-45.06              	3         	5.3 M 3                  	318                      	          	        	EC      	100.00      
177	Re     	75 	102	0.0000  	5/2-          	-46.27              	3         	14 M 1                   	840                      	          	        	EC      	100.00      
178	Re     	75 	103	0.0000  	(3+)          	-45.65              	3         	13.2 M 2                 	792                      	          	        	EC      	100.00      
179	Re     	75 	104	0.0000  	5/2+          	-46.584             	25        	19.5 M 1                 	1170                     	          	        	EC      	100.00      
179	Re     	75 	104	5.4080  	47/2,49/2+    	-41.176             	25        	0.466 MS 15              	4.66E-4                  	          	        	IT      	100.00      
180	Re     	75 	105	0.0000  	(1)-          	-45.837             	21        	2.46 M 3                 	147.6                    	          	        	EC      	100.00      
181	Re     	75 	106	0.0000  	5/2+          	-46.517             	13        	19.9 H 7                 	71640                    	          	        	EC      	100.00      
182	Re     	75 	107	0.0000  	7+            	-45.45              	10        	64.2 H 5                 	231120                   	          	        	EC      	100.00      
182	Re     	75 	107	0.0000  	2+            	-45.45              	10        	14.14 H 45               	50904                    	          	        	EC      	100.00      
183	Re     	75 	108	0.0000  	5/2+          	-45.810             	8         	70.0 D 14                	6048000                  	          	        	EC      	100.00      
183	Re     	75 	108	0.4960  	9/2-          	-45.314             	8         	7.8 NS 4                 	7.8E-9                   	          	        	IT      	100.00      
183	Re     	75 	108	1.9076  	(25/2)+       	-43.902             	8         	1.04 MS 4                	0.00104                  	          	        	IT      	100.00      
183	Re     	75 	108	0.0000  	(21/2)        	-45.810             	8         	10 NS 4                  	1E-8                     	          	        	IT      	100.00      
184	Re     	75 	109	0.0000  	3(-)          	-44.220             	4         	35.4 D 7                 	3058560                  	          	        	EC      	100.00      
